content,label
"⚠️ UTeM BURSARY: Your tuition fee is unpaid. Pay now: http://bit.ly/pay-utem",1
"Guys, tomorrow's Network Security class is cancelled.",0
"Tahniah! Anda terpilih dapat bantuan e-belia RM200: https://semakan.com",1
"Anyone want to order McD for dinner?",0
"URGENT: Verify your WhatsApp student group: http://ws-verify.xyz",1
"Can someone share the lab exercise 3 PDF?",0
"Promosi hebat! iPhone 15 Pro Max RM500 sahaja! WhatsApp 012-XXXXXXX",1
"nerd都有女朋友",0
"wei bro, jom minum mamak malam ni",0
"打机吗等下？",0
"Hi, parcel anda dari J&T Express telah ditahan. Sila bayar RM5.00 clearance fee di link ini: http://jnt-tracking-fake.com",1
"Weh, kelas Dr Megat esok ganti hari apa eh?",0
"We are hiring part-time online staff for Shopee. Salary RM200-RM500/day. Job is simple. Reply 1 to apply.",1
"Aku dah submit PSM proposal kat U-Learn. Korang dah buat?",0
"CIMB Alerts: Your account has been temporarily restricted due to abnormal login. Verify your identity immediately: http://cimb-clicks-verify.net",1
"Bro, ni nombor baru aku. Boleh pinjam RM100 tak? Urgent nak bayar kereta. Nanti gaji aku bayar balik.",1
"Jom main Valorant malam ni, aku on lepas pukul 10.",0
"Pemberitahuan UTeM: Sila semak status penolakan PTPTN anda untuk semester ini melalui portal ini: http://ptptn-semakan-my.xyz",1
"Eh korang dah activate belum akaun library tu?",0
"TM Unifi: Your bill is overdue. Service will be terminated in 2 hours. Pay now at http://unifi-billing-update.com",1
"Dear student, your SMP portal access will be revoked. Please login to confirm your details: http://smp-utem-verify.info",1
"Assalamualaikum semua, peringatan untuk hantar assignment C++ esok sebelum pukul 12 tengah hari ya.",0
"Akaun Maybank2u anda digantung sementara. Sila kemas kini maklumat di: https://maybank2u-update-my.com",1
"Siapa ada jumpa pendrive Kingston kaler merah kat lab FTMK tingkat 2? Kalau jumpa tolong PM.",0
"Anda memenangi Cabutan Bertuah Touch 'n Go eWallet RM5,000! Sila tebus di sini: http://tng-rewards-claim.com",1
"Cafe kolej kediaman lestari bukak tak hari ni? Malas nak keluar pergi DT.",0
"Kerja Kosong! Taip data dari rumah, gaji RM100 sehari. Berminat sila klik: wa.me/6011xxxxxxx",1
"Weh attendance U-Learn korang dah tick belum untuk kelas pagi tadi?",0
"Warning: Your U-Learn account has been accessed from a new IP. Secure your account now: http://ulearn-utem-secure.net",1
"Ada sesiapa faham tak chapter 4 pasal Cryptography tu? Aku blur gila la.",0
"Weh, tolong click link ni jap, aku masuk pertandingan gambar kat IG. Perlukan undi kau: http://ig-vote-contest.xyz",1
"Malam ni ada meeting kelab e-sports pukul 8.30 kat Google Meet. Link nanti Aiman bagi.",0
"Student promo: 100GB Celcom/Maxis/Digi data for only RM10. Register here: http://telco-promo-student.com",1
"Guys, midterm exam Dr Fadzilah masuk chapter 1 sampai 5 kan?",0
"PERHATIAN: Pendaftaran pelajar kolej kediaman sesi ini dibatalkan. Sila daftar semula di portal: http://kolej-utem-daftar.org",1
"Ada sesiapa nak carpool balik KL jumaat ni? Aku ada kosong lagi 2 seat. Share duit tol/minyak je.",0
"You have a missed call from Pos Malaysia regarding an undelivered package. Call back 03-XXXXXXX immediately.",1
"Bro turun bawah jap, aku dah sampai depan kolej ambil barang kau.",0
"Notice from LHDN: You have unpaid tax arrears. A warrant of arrest has been issued. Click to pay: http://lhdn-saman-gov.net",1
"Salam, siapa ada buku teks BITU 3973 nak letgo? Aku nak beli.",0
"Jawatan kosong part time khas untuk student UTeM. RM30 sejam. DM untuk detail.",1
"Korang dah daftar subjek untuk sem depan belum? Sistem SMP macam slow sikit hari ni.",0
"Bro, tolong belikan topup Celcom RM30 jap kat 7E, kawan aku accident. Nanti malam aku transfer balik.",1
"Tolong isi survey untuk FYP kawan aku ni jap geng, pasal cyber security awareness: forms.gle/xxxx",0
"Congratulations! Your phone number has won a free Macbook Air from Apple Education. Claim your prize: http://apple-edu-my.com",1
"Weh besok pakai baju formal ke casual pergi kelas Dr Shafie?",0
"Notis SPRM: Akaun bank anda didapati terlibat dengan aktiviti pengubahan wang haram. Sila hubungi pegawai penyiasat.",1
"Pergi print report kat koperasi jap, ada siapa nak kirim apa-apa tak?",0
"Sila sahkan kehadiran anda ke Majlis Konvokesyen melalui pautan ini jika tidak nama anda akan digugurkan: http://konvo-utem-verify.com",1
"Jom main futsal ptg ni kat court luar. Kurang lagi 3 orang.",0
