content,label
"Amaran: Percubaan log masuk dikesan pada akaun Spotify anda. Jika bukan anda, klik http://verify-identity.com.",1
Akses portal SAPS anda akan ditamatkan dalam masa 24 jam. Sila log masuk di http://verify-identity.com untuk rayuan.,1
Peringatan mesyuarat: Perbincangan mengenai SecurityX Training akan diadakan pada Jumaat jam 3 PM.,0
Akses portal SAPS anda akan ditamatkan dalam masa 24 jam. Sila log masuk di http://semakan-lhdn-gov.top untuk rayuan.,1
Peringatan: Langganan Disney+ Hotstar anda gagal diperbaharui. Kemaskini kad kredit anda di http://verify-identity.com.,1
Notis LHDN: Anda mempunyai tunggakan cukai sebanyak RM2569. Sila bayar segera di http://login-secure-web.net.,1
Resit rasmi bagi transaksi TXN292274 berjaya diproses. Sila simpan untuk rujukan masa hadapan.,0
Peringatan: Langganan iCloud anda gagal diperbaharui. Kemaskini kad kredit anda di http://semakan-lhdn-gov.top.,1
Notis LHDN: Anda mempunyai tunggakan cukai sebanyak RM2277. Sila bayar segera di http://semakan-lhdn-gov.top.,1
Sila hantar laporan mingguan bagi projek Pembangunan Sistem IoT sebelum hari Jumaat ini.,0
Resit rasmi bagi transaksi TXN484644 berjaya diproses. Sila simpan untuk rujukan masa hadapan.,0
Penyata akaun bulanan anda bagi bulan Januari kini boleh dimuat turun di portal rasmi.,0
Kurier J&T Express: Penghantaran bungkusan anda gagal. Sila bayar kos penghantaran semula di http://verify-identity.com.,1
Penyata akaun bulanan anda bagi bulan Januari kini boleh dimuat turun di portal rasmi.,0
Notis LHDN: Anda mempunyai tunggakan cukai sebanyak RM1850. Sila bayar segera di http://semakan-lhdn-gov.top.,1
Peringatan mesyuarat: Perbincangan mengenai Digital Marketing akan diadakan pada Jumaat jam 12 PM.,0
Terima kasih kerana menggunakan perkhidmatan Shopee. Sila berikan maklum balas anda di sini.,0
"Amaran: Percubaan log masuk dikesan pada akaun Unifi anda. Jika bukan anda, klik http://verify-identity.com.",1
Tindakan segera diperlukan! Akaun RHB Now anda telah disekat. Sila sahkan identiti di http://bit.ly/kemaskini-akaun-2026.,1
Tindakan segera diperlukan! Akaun Public Bank anda telah disekat. Sila sahkan identiti di http://semakan-lhdn-gov.top.,1
Sila hantar laporan mingguan bagi projek Pembangunan Sistem IoT sebelum hari Jumaat ini.,0
"Amaran: Percubaan log masuk dikesan pada akaun Spotify anda. Jika bukan anda, klik http://semakan-lhdn-gov.top.",1
Bantuan Tunai Rahmah: Semak status kelayakan RM2111 anda di pautan rasmi ini http://bit.ly/kemaskini-akaun-2026.,1
Sila hantar laporan mingguan bagi projek Pembangunan Sistem IoT sebelum hari Jumaat ini.,0
Pengesahan pendaftaran: Anda telah berjaya mendaftar untuk kursus Cybersecurity Forensics di portal UniSZA.,0
Peringatan: Langganan Disney+ Hotstar anda gagal diperbaharui. Kemaskini kad kredit anda di http://login-secure-web.net.,1
Resit rasmi bagi transaksi TXN160478 berjaya diproses. Sila simpan untuk rujukan masa hadapan.,0
Peringatan: Langganan Spotify anda gagal diperbaharui. Kemaskini kad kredit anda di http://verify-identity.com.,1
Kurier Shopee: Penghantaran bungkusan anda gagal. Sila bayar kos penghantaran semula di http://login-secure-web.net.,1
Bantuan Tunai Rahmah: Semak status kelayakan RM3500 anda di pautan rasmi ini http://bit.ly/kemaskini-akaun-2026.,1
Notis: Penyelenggaraan sistem E-Daftar akan dijalankan pada malam ini dari jam 12AM hingga 4AM.,0
Pengesahan pendaftaran: Anda telah berjaya mendaftar untuk kursus Cybersecurity Forensics di portal UniSZA.,0
Peringatan mesyuarat: Perbincangan mengenai SecurityX Training akan diadakan pada Jumaat jam 1 PM.,0
