content,label
"kelas ganti di makmal petang ini",0
"Join the Telegram discussion at https://t.me/+mkJQGPjQaLg1OTk9 for industrial training updates",0
"Telegram rasmi fakulti akan kongsi info latihan industri",0
"Maybank alert: verify now at https://maybank-secure-check.example",1
"please verify your account at https://bit.ly/check-now",1
"Urgent parcel fee payment via https://rb.gy/pay-now",1
"meeting FYP moved to 3pm",0
"Pelajar diminta semak jadual pembentangan",0
"PTPTN final reminder: legal action may start at https://ptptn-settlement.example",1
"akaun anda disekat sila klik https://tinyurl.com/buka-akaun",1
