content,label
"Pendaftaran program dibuka untuk pelajar tahun 1",0
"Daftar program melalui https://forms.gle/Qa9U7ACm8ZLKRVu17",0
"Maklumat lokasi dan tarikh akan diumumkan kemudian",0
"Google Form rasmi kelab akan kongsi senarai peserta",0
"Maybank alert: verify now at https://maybank-secure-check.example",1
"Complete your account verification at https://forms.gle/VerifyBankNow",1
"Bayar yuran segera di https://forms.gle/PayNowFast",1
"akaun anda disekat sila klik https://tinyurl.com/buka-akaun",1
"meeting FYP moved to 3pm",0
"class replacement tomorrow at BK3",0
