content,label
"wei bro kelas esok pindah bilik ya",0
"tolong semak nota kat https://bit.ly/kelas-notes",0
"urgent wei akaun bank u kena sekat verify now at https://bit.ly/kemaskini-sekarang",1
"pls update your payroll profile at https://secure-payroll-check.example",1
"jom mamak malam ni lepas class",0
"sy x sempat join meeting pagi tadi",0
"akaun anda akan ditamatkan sila klik https://rb.gy/abc123",1
"official portal is https://www.maybank2u.com.my",0
"ur parcel pending pay fee at http://tinyurl.com/claim-parcel",1
"presentation FYP start pukul 2 nanti",0
