content,label
"kelas esok pindah ke makmal 2",0
"rujuk portal rasmi JPJ di https://www.jpj.gov.my",0
"PTPTN final reminder: review payment notice at https://www.ptptn.gov.my",0
"HEP survey rasmi UTeM ada di https://hep.utem.edu.my/survey",0
"Maybank alert: verify now at https://maybank-secure-check.example",1
"PTPTN final reminder: legal action may start at https://ptptn-settlement.example",1
"akaun anda disekat sila klik https://tinyurl.com/buka-akaun",1
"please verify your account at https://bit.ly/check-now",1
"meeting FYP moved to 3pm",0
"nota kuliah dah upload dekat portal",0
