content,label
你是马来西亚华人吗？我有中国产品想进口到马来西亚,1
有什么新鲜事？,0
您的信用卡被盗刷RM8888，请立即联系银行,1
您的意外保险有理赔待处理，请提供银行账户信息,1
游戏通关了吗？,0
您的银行账户异常，请立即验证：http://bank-verify.com,1
我是慈善机构工作人员，想请你捐款帮助灾区儿童,1
追剧进度,0
加油！,0
甜品推荐,0
存款够用吗？,0
项目进展顺利吗？,0
您的订单出现异常，请点击链接查看：http://order-fake.com,1
运动要适量,0
祝爸爸妈妈身体健康,0
TM Unifi通知：您的宽带服务即将被暂停，请支付欠费,1
Air Selangor通知：您的水费账单异常，请核实支付,1
食堂排队好长,0
您的快递被海关扣留，请支付RM30关税：http://customs-fake.com,1
超市在打折，要去吗？,0
我是你亲戚，我现在在国外出事了，急需RM5000救命，请转账,1
这家餐厅不错,0
恭喜您获得新加坡游轮旅游大奖，请支付RM2000税费领取,1
紧急：您的账户将被关闭，请立即验证：http://account-verify.com,1
再见,0
这家餐厅的菜很好吃,0
恭喜！您被选为幸运用户，获得iPhone 15 Pro Max，请支付RM500手续费领取,1
明天要开会，请准时参加,0
我们一起学习,0
早点休息,0
备份做好了吗？,0
工资发了吗？,0
食堂今天有什么好吃的？,0
这个品牌质量不错,0
您的WhatsApp账号将在24小时后被封禁，请立即验证：http://wa-verify.com,1
Tutorial CSM3023 pukul 2 petang kat makmal 3,0
请问有发票吗？,0
MyEG services at https://www.myeg.com.my,0
数据恢复了,0
有什么不懂的可以问我,0
今晚一起去吃饭吗？,0
物流信息已更新,0
过年回家吗？,0
最近在追什么剧？,0
投资收益怎么样？,0
您的WiFi网络被他人使用，请立即更改密码：http://wifi-fake.com,1
有什么需要帮忙的吗？,0
薪水满意吗？,0
软件好用吗？,0
可以包邮吗？,0
推荐一部好看的电影,0
恭喜你获得微信红包，请点击领取：http://hongbao-fake.com,1
您的CIMB银行账户已被冻结，请联系客服解冻：+60123456789,1
有空出来聚聚,0
什么时候回家？,0
请多关照,0
移民局通知：您的签证即将到期，请立即续签,1
你是华人吗？我有投资机会介绍给你，保证赚钱,1
今天吃什么？,0
你是华人企业家吗？我有融资渠道介绍给你,1
嗨，我是新加坡的成功企业家，想找马来西亚的合作伙伴,1
您的手机被黑客入侵，请立即安装安全补丁：http://security-fake.com,1
医院挂号了吗？,0
药吃了吗？,0
水电费交了吗？,0
TNB通知：您的电费账单已逾期，请立即支付以免被切断电源,1
快递到了，去取一下,0
请问图书馆几点关门？,0
合同已经签好了,0
我是国际援助组织的，想请你帮助贫困儿童,1
当地天气怎么样？,0
恭喜！您被选为幸运用户，获得现金奖励RM50000,1
报告写好了吗？,0
新年快乐！恭喜发财！,0
兼职打字员，1000字30块，不用交押金。加微信/WhatsApp：xxxxx,1
给家里打电话了吗？,0
最近怎么样？,0
最近在忙什么？,0
你好，我是中国大使馆工作人员，你的护照有问题需要处理,1
PTPTN通知：您的学生贷款已逾期，请立即还款以免影响信用,1
信用卡还了吗？,0
自己做饭,0
工作适应吗？,0
请问复印店在哪里？,0
恭喜您中奖了！获得宝马轿车一辆，请支付RM5000手续费领取,1
紧急：您的银行账户将在24小时后被关闭，请立即验证：http://bank-verify.com,1
账单付了吗？,0
你好，我是来自台湾的商人，想在马来西亚投资，需要你的帮助,1
音乐推荐,0
您的EPF公积金有RM20000待领取：http://kwsp-fake.com,1
重要：您的银行账户涉及洗钱调查，请立即转账到安全账户：http://safe-account.com,1
小组讨论什么时候开始？,0
理财计划,0
演唱会门票,0
周末去爬山吗？,0
恭喜您！您的银行账户获得意外奖励RM5000，请点击链接领取：http://fake-bank.com/claim,1
Check EPF balance at https://www.kwsp.gov.my,0
景点门票买好了吗？,0
质量有问题，想退货,0
Kelas Dr Megat esok ganti bilik baru,0
航班信息发给我,0
您的账户有新通知，请点击查看详情：http://notification-fake.com,1
你好，我是微信客服，你的账户涉嫌违规，请配合调查,1
什么时候能到货？,0
需要带什么衣服？,0
聚会开心吗？,0
Jom diskusikan assignment kat cafe,0
不客气,0
跨境电商创业机会，月入过万不是梦，免费培训：http://biz-fake.com,1
LHDN通知：您有未缴税款RM5000，请立即支付以免被起诉,1
我是你的老同学，还记得我吗？我现在急需用钱，能借RM500吗,1
我是你朋友的朋友，他出了车祸，需要钱治疗，请帮忙,1
您的iCloud账户存在安全风险，请立即更新密码：http://icloud-fake.com,1
恭喜您获得免费旅游奖励，请确认领取,1
客户反馈怎么样？,0
最近在忙什么？,0
家里需要什么？,0
会议几点开始？,0
作业什么时候交？,0
电脑卡了吗？,0
机票订好了吗？,0
你的空调需要清洗吗？我提供专业服务,1
老师说明天要带课本,0
您的支付宝账户获得RM888红包，请点击领取：http://alipay-fake.com,1
UTeM招生办通知：您被选为优秀学生，请领取奖学金,1
请查看邮件，有重要通知,0
活动参加了吗？,0
重阳节快乐！,0
端午节快乐！,0
这个商品打折了,0
电影好看吗？,0
您的WhatsApp账号将被封禁，请立即验证：http://wa-verify.com,1
我是你孩子的老师，他受伤了，请立即来医院并带上RM2000,1
SPRM通知：您的账户涉及腐败调查，请配合调查,1
你的汽车需要保养吗？我提供优惠套餐,1
酒店预订确认了吗？,0
手机更新了吗？,0
系统崩溃了,0
您的医疗保险获得升级，请支付RM200激活新套餐,1
Lazada 大促开始了,0
我是红十字会的，想请你捐款帮助灾民,1
招聘居家办公人员，月薪RM8000，有意请联系：+60123456789,1
保重身体,0
祝你好运,0
投资机会，月收益10%，最低投资RM1000,1
Astro通知：您的卫星电视账户存在异常，请验证身份,1
您的快递已被海关扣留，请支付RM30关税领取：http://customs-fake.com/pay,1
接送机安排好了吗？,0
饮食要注意什么？,0
你的电脑有问题吗？我提供远程维修服务，只需RM50,1
发票已经开好了,0
同事关系怎么样？,0
网络正常吗？,0
